商品名・メーカー名検索,メーカー名,商品名,羽田限定,東京限定,金額,入数,仏事,日持ち,おもたせ,取り扱い店舗
舟和本店,舟和本店,あんこ玉、芋ようかん,0,0,0,0,0,0,0,-
あんこ玉,舟和本店,あんこ玉,0,1,1555,16,0,0,0,東京食賓館３、東京食賓館B
芋ようかん,舟和本店,芋ようかん,0,1,864,5,0,0,0,東京食賓館３、東京食賓館B
芋ようかん,舟和本店,芋ようかん,0,1,1382,8,0,0,0,東京食賓館３、東京食賓館B
芋ようかん,舟和本店,芋ようかん,0,1,1728,10,0,0,0,東京食賓館３、東京食賓館B
福砂屋,福砂屋,ｵﾗﾝﾀﾞｹｰｷ、ｶｽﾃﾗ,0,0,0,0,0,0,0,-
ｵﾗﾝﾀﾞｹｰｷ,福砂屋,ｵﾗﾝﾀﾞｹｰｷ,0,0,2079,1,0,1,1,東京食賓館３、スマイルトーキョー
福砂屋のｶｽﾃﾗ,福砂屋,カステラ,0,0,2079,1,1,1,1,東京食賓館３、スマイルトーキョー
文明堂東京,文明堂東京,カステラ巻、月三笠、カステラ,0,0,0,0,0,0,0,-
ｶｽﾃﾗ巻,文明堂東京,ｶｽﾃﾗ巻,0,0,1512,10,1,1,1,"ピア１、ピア４、スマイルトーキョー、東京食賓館B,東京食賓館A"
月三笠,文明堂東京,月三笠,0,0,864,5,1,1,1,"ピア１、ピア４、スマイルトーキョー、東京食賓館B,東京食賓館A"
月三笠,文明堂東京,月三笠,0,0,1382,8,1,1,1,"ピア１、ピア４、スマイルトーキョー、東京食賓館B,東京食賓館A"
文明堂のカステラ,文明堂東京,カステラ,0,0,1350,1,1,1,1,"ピア１、ピア４、スマイルトーキョー、東京食賓館B,東京食賓館A"
ﾍﾞﾙﾝ,ﾍﾞﾙﾝ,ジョリクール、ミルフィユ,0,0,0,0,0,0,0,-
ｼﾞｮﾘｸｰﾙ,ﾍﾞﾙﾝ,ｼﾞｮﾘｸｰﾙ,0,0,1080,8,0,1,1,"ピア１、ピア４、洋菓子館、スマイルトーキョー、東京食賓館B,東京食賓館A"
ｼﾞｮﾘｸｰﾙ,ﾍﾞﾙﾝ,ｼﾞｮﾘｸｰﾙ,0,0,1620,12,0,1,1,"ピア１、ピア４、洋菓子館、スマイルトーキョー、東京食賓館B,東京食賓館A"
ﾍﾞﾙﾝのﾐﾙﾌｨﾕ,ﾍﾞﾙﾝ,ﾐﾙﾌｨﾕ,0,0,2160,18,0,1,1,"ピア１、ピア４、洋菓子館、スマイルトーキョー、東京食賓館B,東京食賓館A"
ﾍﾞﾙﾝのﾐﾙﾌｨﾕ,ﾍﾞﾙﾝ,ﾐﾙﾌｨﾕ,0,0,3240,28,0,1,1,"ピア１、ピア４、洋菓子館、スマイルトーキョー、東京食賓館B,東京食賓館A"
ﾍﾞﾙﾝのﾐﾙﾌｨﾕ,ﾍﾞﾙﾝ,ﾐﾙﾌｨﾕ,0,0,1080,9,0,1,1,"ピア１、ピア４、洋菓子館、スマイルトーキョー、東京食賓館B,東京食賓館A"
松崎煎餅,松崎煎餅,米つぶ煎餅,0,0,0,0,0,0,0,-
米つぶ煎餅,松崎煎餅,米つぶ煎餅,1,1,2592,36,0,1,1,ピア１、ピア４、スマイルトーキョー、東京食賓館A
米つぶ煎餅,松崎煎餅,米つぶ煎餅,1,1,864,8,0,1,1,ピア１、ピア４、スマイルトーキョー、東京食賓館A
三本ｺｰﾋｰ,三本ｺｰﾋｰ,ｶﾌｪｼｮｺﾗｳｨｯﾁ、鼓かさね、翼もなか,0,0,0,0,0,0,0,-
ｶﾌｪｼｮｺﾗｳｨｯﾁ,三本ｺｰﾋｰ,ｶﾌｪｼｮｺﾗｳｨｯﾁ,1,1,1360,6,0,1,1,ピア１、ピア４、スマイルトーキョー、東京食賓館A
鼓かさね,三本ｺｰﾋｰ,鼓かさね,1,1,1144,6,0,1,1,ピア１、ピア４、スマイルトーキョー、東京食賓館A
翼もなか,三本ｺｰﾋｰ,翼もなか,1,1,1144,6,0,1,1,ピア１、ピア４、スマイルトーキョー、東京食賓館A
ﾒｰﾌﾟﾙﾏﾆｱ,ﾒｰﾌﾟﾙﾏﾆｱ,ﾒｰﾌﾟﾙﾊﾞﾀｰｸｯｷ-、メープルフィナンシェ,0,0,2268,10,0,1,1,東京食賓館B
ﾒｰﾌﾟﾙﾊﾞﾀｰｸｯｷ-,ﾒｰﾌﾟﾙﾏﾆｱ,ﾒｰﾌﾟﾙﾊﾞﾀｰｸｯｷ-,0,0,1998,18,0,1,1,東京食賓館B
ﾒｰﾌﾟﾙﾊﾞﾀｰｸｯｷ-,ﾒｰﾌﾟﾙﾏﾆｱ,ﾒｰﾌﾟﾙﾊﾞﾀｰｸｯｷ-,0,0,3456,32,0,1,1,東京食賓館B
メープルフィナンシェ,ﾒｰﾌﾟﾙﾏﾆｱ,メープルフィナンシェ,0,0,1188,6,0,1,1,東京食賓館B
メープルフィナンシェ,ﾒｰﾌﾟﾙﾏﾆｱ,メープルフィナンシェ,0,0,2322,12,0,1,1,東京食賓館B
ﾕｰﾊｲﾑ,ﾕｰﾊｲﾑ,ﾎｰﾆｯﾋｱｯﾌｪﾙﾊﾞｳﾑ,0,0,0,0,0,0,0,-
ﾎｰﾆｯﾋｱｯﾌｪﾙﾊﾞｳﾑ,ﾕｰﾊｲﾑ,ﾎｰﾆｯﾋｱｯﾌｪﾙﾊﾞｳﾑ,1,1,1728,1,0,1,1,洋菓子館、フードプラザ
洋菓子舗ｳｴｽﾄ,洋菓子舗ｳｴｽﾄ,ｳﾞｨｸﾄﾘｱ、ﾘｰﾌﾊﾟｲ,0,0,0,0,0,0,0,-
ｳﾞｨｸﾄﾘｱ,洋菓子舗ｳｴｽﾄ,ｳﾞｨｸﾄﾘｱ,0,0,1944,8,0,1,1,洋菓子館、東京食賓館B、ピア１、ピア４
ﾘｰﾌﾊﾟｲ,洋菓子舗ｳｴｽﾄ,ﾘｰﾌﾊﾟｲ,0,0,1512,8,0,1,1,洋菓子館、東京食賓館B、ピア１、ピア４
ﾘｰﾌﾊﾟｲ,洋菓子舗ｳｴｽﾄ,ﾘｰﾌﾊﾟｲ,0,0,1944,12,0,1,1,洋菓子館、東京食賓館B、ピア１、ピア４
ﾘｰﾌﾊﾟｲ,洋菓子舗ｳｴｽﾄ,ﾘｰﾌﾊﾟｲ,0,0,2700,17,0,1,1,洋菓子館、東京食賓館B、ピア１、ピア４
ﾘｰﾌﾊﾟｲ,洋菓子舗ｳｴｽﾄ,ﾘｰﾌﾊﾟｲ,0,0,3456,22,0,1,1,洋菓子館、東京食賓館B、ピア１、ピア４
ﾖｯｸﾓｯｸ,ﾖｯｸﾓｯｸ,ｼｶﾞｰﾙ,0,0,0,0,0,0,0,-
ｼｶﾞｰﾙ,ﾖｯｸﾓｯｸ,ｼｶﾞｰﾙ,0,0,1080,14,0,1,1,洋菓子館、ピア１、ピア４、東京食賓館A
ｼｶﾞｰﾙ,ﾖｯｸﾓｯｸ,ｼｶﾞｰﾙ,0,0,1620,20,0,1,1,洋菓子館、ピア１、ピア４、東京食賓館A
ｼｶﾞｰﾙ,ﾖｯｸﾓｯｸ,ｼｶﾞｰﾙ,0,0,3564,48,0,1,1,洋菓子館、ピア１、ピア４、東京食賓館A
ラ・メゾン白金,ラ・メゾン白金,ﾍﾞｲｸﾄﾞｼｮｺﾗ,0,0,0,0,0,0,0,-
ﾍﾞｲｸﾄﾞｼｮｺﾗ,ラ・メゾン白金,ﾍﾞｲｸﾄﾞｼｮｺﾗ,1,1,1188,6,0,1,1,ピア１、ピア４、スマイルトーキョー、東京食賓館A
